"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"GO356434.1" 6918.83266273051 7.33835590249309 1.73103670197354 4.23928383154829 2.24234000902969e-05 0.00152383991037878
"GO356443.1" 2648.56288345453 -5.76600840252646 1.89902665526117 -3.03629671892808 0.00239503545077508 0.0269093512119649
"GO356446.1" 19352.3924669266 -9.64726753142121 1.88635055070607 -5.11424959046461 3.14990639509581e-07 4.97463386031117e-05
"GO356456.1" 128.830025158203 -8.38498052807388 2.37655071414216 -3.52821443202423 0.000418373093460609 0.0104138362003203
"GO356492.1" 17.8625247140798 9.75929816683657 2.97195204609224 3.28380068570382 0.00102417326346047 0.0172692553431312
"GO356538.1" 630.592730076853 5.61478687473655 1.81275311683165 3.09738089682623 0.00195238833661391 0.0241218769399832
"GO356550.1" 2533.89967259617 5.6042187530021 1.92948501954481 2.90451529617172 0.00367822229974236 0.0333736147951671
"GO356589.1" 44.820049250006 -6.86140449658271 2.43367837429646 -2.81935549456745 0.00481201922238785 0.038091308707147
"GO356631.1" 149.843394829131 5.73702487431875 2.05039208461627 2.79801356889867 0.00514179525507927 0.0393280697102346
"GO356653.1" 1781.71094668316 6.87361734037807 1.9665315143032 3.49529986699125 0.00047352942378234 0.0110849382648672
"GO356663.1" 43.8391141813695 9.09192265990483 2.35863825162978 3.854733829413 0.000115855606487464 0.00467298171058967
"GO356676.1" 39.5832853565806 -6.68162855796028 2.46299784864071 -2.71280324570635 0.00667167066802838 0.0438037998498858
"GO356749.1" 307.588697140621 -9.64063774569652 2.35516743643921 -4.09339803044842 4.25097067670177e-05 0.00240112951940932
"GO356791.1" 191.482276727485 7.00794079124569 1.8897503633241 3.70839499610871 0.000208577119509481 0.00697283198132083
"GO356824.1" 3946.64567677237 6.04608449689268 2.09478377557727 2.88625707692744 0.003898535735467 0.0341829855000618
"GO356852.1" 4378.75087311912 6.39877441282813 1.92932933572845 3.31657964989796 0.000911266080904819 0.0161175445073032
"GO356889.1" 46.5019640468427 -6.91642164393154 2.53552487126989 -2.72780666531877 0.0063756963827203 0.0431347474656038
"GO356890.1" 37.0136036938133 -6.5852961945736 2.44982227868152 -2.68807098860974 0.00718661166415389 0.0452018583531722
"GO356892.1" 21.154549015784 8.18899496824919 2.66260761349851 3.07555455288785 0.00210111487825339 0.0252246264773611
"GO356917.1" 4063.1187193135 6.51343171572479 1.9139348336723 3.40316274155862 0.000666105920628618 0.013882984550202
"GO356921.1" 5536.63138201601 -27.1387332591341 3.26458675509983 -8.31306848155859 9.32586648160535e-17 2.09141881716482e-13
"GO356964.1" 15016.6402827612 8.1366169203491 2.1003083026721 3.87401073927926 0.000107058691669152 0.00446263609548773
"GO356985.1" 34.8185999526576 -6.49709822196486 2.45564535366283 -2.6457803494604 0.0081502719685147 0.0480833505996682
"GO356988.1" 28167.4887891768 7.75973590988046 2.1414187832348 3.62364240504079 0.000290483150788195 0.00834699824577463
"GO356992.1" 82.9716253521411 6.57540452051509 1.80372984555835 3.64544864448903 0.000266925718185423 0.00798027251717146
"GO356999.1" 61.4606675862327 -7.31630567721335 2.5131933917969 -2.91115904613385 0.00360090670421858 0.0330687689389049
"GO357018.1" 24595.5205368038 -8.06515252993155 1.85431687706797 -4.34939283014245 1.3651497833166e-05 0.00102049496802193
"GO357052.1" 46.4698323705991 -6.91322189225229 2.44553435508531 -2.82687580236882 0.00470045544336284 0.0377211856850374
"GO357057.1" 381.958887044093 -9.95318238710971 2.38338289895951 -4.17607359331767 2.96583902998289e-05 0.00194479257562562
"GO357067.1" 23951.5088719047 10.19154328389 2.16442130240775 4.70866890496443 2.49339703559973e-06 0.000297430435746594
"GO357084.1" 47.3635806083111 5.97866984484175 2.11009471604355 2.8333656301703 0.00460606681622962 0.0374213403651296
